249,Markisa,ikan_249.webp,K
250,Kwee,ikan_250.webp,K
252,Kerapu Tutul,ikan_252.webp,K
253,Lethrinus Sirip Kuning-Pucat,ikan_253.webp,K
254,Antoan,ikan_254.webp,K
255,Kakap Layar,ikan_255.webp,K
256,Kurisi,ikan_256.webp,K
257,Lencam Merah Tua,ikan_257.webp,K
258,Jambian,ikan_258.webp,K
259,Gaga,ikan_259.webp,K
260,Kerapu Tutul,ikan_260.webp,K
261,Kerapu Merah Bintik Biru,ikan_261.webp,K
262,Kerapu Karang,ikan_262.webp,K
264,Krapu Sunu,ikan_264.webp,K
265,Kerapu Sunu,ikan_265.webp,K
266,Kerapu Sunu,ikan_266.webp,K
267,Krapu Strip Putih,ikan_267.webp,K
268,Krapu Bebek,ikan_268.webp,K
269,Balong,ikan_269.webp,K
270,Kerapu Karet,ikan_270.webp,K
271,Balong Merah Keputihan,ikan_271.webp,K
272,Krapu Macan,ikan_272.webp,K
273,Jambian,ikan_273.webp,K
274,Gorara Abu-Abu,ikan_274.webp,K
275,Kakap Merah,ikan_275.webp,K
276,Mailah,ikan_276.webp,K
277,Garutung,ikan_277.webp,K
278,Gorara Tikus,ikan_278.webp,K
279,Kerapu Marmer,ikan_279.webp,K
280,Kerapu Lumpur,ikan_280.webp,K
281,Tanda-Tanda Batu,ikan_281.webp,K
282,Lencam,ikan_282.webp,K
283,Caesio Pisang,ikan_283.webp,K
284,Lencam,ikan_284.webp,K
286,Kwee Macan,ikan_286.webp,K
287,Kuwe Pectoral,ikan_287.webp,K
288,Kuwe,ikan_288.webp,K
289,Kuwe Bibir Tebal,ikan_289.webp,K
290,Kuwe Rombeh,ikan_290.webp,K
291,Kwe Ramping,ikan_291.webp,K
293,Kwetengguli,ikan_293.webp,K
294,Kwe Abu-Abu Sirip Gelap,ikan_294.webp,K
295,Kwe Moncong Tumpul Bulat,ikan_295.webp,K
296,Kuwe Sirip Hitam,ikan_296.webp,K
297,Kuwe Caudal Hitam,ikan_297.webp,K
298,Kwee Papua,ikan_298.webp,K
300,Kwee Lilin,ikan_300.webp,K
301,Cipa-Cipa,ikan_301.webp,K
303,Layang Pectoralf Pendek,ikan_303.webp,K
304,Lonjong,ikan_304.webp,K
305,Kuwe Mata Besar,ikan_305.webp,K
307,Krot-Krot,ikan_307.webp,K
308,Kuwe,ikan_308.webp,K
309,Kuwe,ikan_309.webp,K
310,Sokang,ikan_310.webp,K
311,Terman,ikan_311.webp,K
312,Selar,ikan_312.webp,K
314,Kuweh Pectoralf Sabit,ikan_314.webp,K
315,Kuwe Sirip Kuning,ikan_315.webp,K
316,Romengan,ikan_316.webp,K
317,Kuwe Rambut,ikan_317.webp,K
318,Kwe Abu-Abu Sirip Gelap,ikan_318.webp,K
319,Selar,ikan_319.webp,K
320,Kuwe Macan,ikan_320.webp,K
321,Kwe,ikan_321.webp,K
322,Kwe Selar,ikan_322.webp,K
323,Paus Sperma Kerdil,ikan_323.webp,E
324,Paus Sperma Cebol,ikan_324.webp,E
325,Lumba-Lumba Abu-Abu,ikan_325.webp,E
326,Lumba-Lumba Putih,ikan_326.webp,E
327,Paus Pemandu Sirip Pendek,ikan_327.webp,E
328,Lumba-Lumba Tak Bersirip,ikan_328.webp,E
329,Pesut,ikan_329.png,K
330,Lumba-Lumba Hidung Botol,ikan_330.webp,E
331,Lumba-Lumba Biasa,ikan_331.webp,E
332,Lumba-Lumba Biasa,ikan_332.webp,E
333,Paus Pembunuh Kerdil,ikan_333.png,E
334,Lumba-Lumba Paruh Panjang,ikan_334.webp,E
335,Paus Hidung Botol,ikan_335.webp,E
336,Duyung,ikan_336.webp,K
337,Paus Pembunuh Palsu,ikan_337.png,E
338,Paus Paruh Curvier,ikan_338.png,E
339,Lumba-Lumba Gigi Kasar,ikan_339.png,E
340,Lumba-Lumba Totol,ikan_340.webp,E
341,Lumba-Lumba Bergaris,ikan_341.png,E
342,Paus Paruh,ikan_342.png,E
343,Paus Kepala Semangka,ikan_343.webp,E
344,Paus Pembunuh,ikan_344.png,E
345,Paus Bride Kecil,ikan_345.webp,E
346,Paus Minke,ikan_346.webp,E
347,Paus Sei,ikan_347.png,E
348,Paus Bryde,ikan_348.webp,E
349,Paus Sirip,ikan_349.webp,E
350,Paus Sperma,ikan_350.webp,E
351,Paus Biru,ikan_351.webp,E
352,Paus Bongkok,ikan_352.png,E
353,Teripang Sabuk Raja,ikan_353.webp,K
354,Teripang Patola,ikan_354.webp,K
355,Teripang Oler,ikan_355.webp,K
356,Teripang Getah,ikan_356.webp,K
357,Teripang,ikan_357.webp,K
358,Teripang Keliling,ikan_358.webp,K
359,Teripang Dada Merah,ikan_359.webp,K
360,Teripang Nanas,ikan_360.webp,K
361,Teripang Kridou Bintik,ikan_361.webp,K
